customer_id,county,city,segment,age_band,signup_date
C100000,Mayo,Castlebar,Inactive,18-24,2025-04-23
C100001,Galway,Galway,New,35-44,2025-04-13
C100002,Kilkenny,Kilkenny,Regular,55+,2025-01-28
C100003,Kerry,Tralee,New,25-34,2025-01-04
C100004,Dublin,Dublin,New,45-54,2024-10-25
C100005,Carlow,Carlow,Premium,35-44,2025-01-26
C100006,Louth,Drogheda,New,45-54,2024-07-15
C100007,Mayo,Castlebar,Regular,25-34,2024-11-23
C100008,Dublin,Dublin,Regular,18-24,2026-01-18
C100009,Galway,Galway,New,18-24,2024-09-06
C100010,Cork,Cork,Regular,35-44,2025-08-14
C100011,Cavan,Cavan,Regular,45-54,2024-06-21
C100012,Donegal,Letterkenny,Inactive,25-34,2025-08-15
C100013,Waterford,Waterford,Regular,18-24,2024-11-06
C100014,Galway,Galway,Inactive,18-24,2025-07-27
C100015,Dublin,Dublin,Inactive,35-44,2025-03-25
C100016,Limerick,Limerick,Regular,45-54,2025-09-09
C100017,Dublin,Dublin,Regular,25-34,2025-07-06
C100018,Waterford,Waterford,Premium,35-44,2025-05-01
C100019,Donegal,Letterkenny,Premium,25-34,2025-08-15
C100020,Louth,Drogheda,Regular,45-54,2026-01-01
C100021,Cork,Cork,Inactive,45-54,2025-05-24
C100022,Monaghan,Monaghan,Inactive,18-24,2024-09-13
C100023,Laois,Portlaoise,Regular,35-44,2024-08-09
C100024,Mayo,Castlebar,Premium,45-54,2025-04-25
C100025,Dublin,Dublin,Regular,55+,2025-02-14
C100026,Kildare,Naas,Premium,35-44,2025-06-01
C100027,Dublin,Dublin,Premium,18-24,2025-07-06
C100028,Dublin,Dublin,New,25-34,2024-09-21
C100029,Kerry,Tralee,New,35-44,2025-08-20
C100030,Louth,Drogheda,Regular,25-34,2026-01-16
C100031,Monaghan,Monaghan,Inactive,55+,2024-12-12
C100032,Cork,Cork,Regular,18-24,2025-12-10
C100033,Cork,Cork,Inactive,45-54,2025-12-10
C100034,Kildare,Naas,Regular,25-34,2025-02-07
C100035,Dublin,Dublin,Regular,18-24,2025-09-21
C100036,Dublin,Dublin,Inactive,25-34,2025-12-12
C100037,Kildare,Naas,Regular,35-44,2025-10-25
C100038,Dublin,Dublin,Regular,45-54,2025-01-20
C100039,Wexford,Wexford,New,25-34,2025-07-05
C100040,Galway,Galway,New,18-24,2025-05-22
C100041,Waterford,Waterford,New,45-54,2025-02-04
C100042,Kerry,Tralee,Regular,25-34,2025-06-19
C100043,Cork,Cork,Regular,25-34,2025-12-13
C100044,Waterford,Waterford,Regular,45-54,2024-06-16
C100045,Clare,Ennis,New,18-24,2025-11-23
C100046,Cork,Cork,New,18-24,2025-01-07
C100047,Cork,Cork,Regular,25-34,2025-10-11
C100048,Kerry,Tralee,Inactive,35-44,2024-08-04
C100049,Dublin,Dublin,Regular,25-34,2025-11-17
C100050,Dublin,Dublin,New,45-54,2025-02-24
C100051,Dublin,Dublin,Regular,25-34,2025-12-02
C100052,Mayo,Castlebar,Inactive,55+,2025-02-12
C100053,Wexford,Wexford,Premium,18-24,2025-08-22
C100054,Kerry,Tralee,Premium,18-24,2025-05-24
C100055,Mayo,Castlebar,Inactive,18-24,2024-09-29
C100056,Kildare,Naas,Regular,18-24,2024-10-28
C100057,Limerick,Limerick,Inactive,25-34,2025-04-20
C100058,Dublin,Dublin,New,45-54,2025-03-20
C100059,Dublin,Dublin,Premium,45-54,2025-06-05
C100060,Wexford,Wexford,Inactive,35-44,2025-09-28
C100061,Kildare,Naas,Inactive,18-24,2025-09-08
C100062,Limerick,Limerick,Regular,45-54,2024-07-06
C100063,Louth,Drogheda,Premium,25-34,2025-03-25
C100064,Donegal,Letterkenny,New,35-44,2024-08-28
C100065,Limerick,Limerick,Regular,35-44,2025-04-04
C100066,Limerick,Limerick,Regular,18-24,2025-04-18
C100067,Cork,Cork,Regular,25-34,2026-01-19
C100068,Dublin,Dublin,Regular,45-54,2025-01-20
C100069,Galway,Galway,Regular,25-34,2025-02-27
C100070,Dublin,Dublin,New,35-44,2025-04-03
C100071,Galway,Galway,Regular,55+,2024-08-18
C100072,Kilkenny,Kilkenny,Regular,25-34,2024-07-06
C100073,Dublin,Dublin,Regular,25-34,2025-07-31
C100074,Dublin,Dublin,Premium,25-34,2024-11-28
C100075,Dublin,Dublin,New,45-54,2025-01-04
C100076,Cork,Cork,Premium,25-34,2026-01-17
C100077,Wexford,Wexford,Regular,25-34,2024-10-28
C100078,Limerick,Limerick,New,18-24,2025-11-25
C100079,Mayo,Castlebar,Regular,55+,2025-06-13
C100080,Wexford,Wexford,Regular,45-54,2024-11-07
C100081,Galway,Galway,Regular,35-44,2025-12-25
C100082,Clare,Ennis,New,55+,2025-06-09
C100083,Dublin,Dublin,New,35-44,2024-12-05
C100084,Dublin,Dublin,New,55+,2025-02-26
C100085,Dublin,Dublin,New,18-24,2025-01-10
C100086,Wicklow,Bray,New,18-24,2025-10-21
C100087,Kildare,Naas,Premium,45-54,2025-03-07
C100088,Dublin,Dublin,Regular,25-34,2024-06-23
C100089,Meath,Navan,Regular,25-34,2025-07-18
C100090,Dublin,Dublin,Regular,35-44,2025-08-29
C100091,Kerry,Tralee,Regular,35-44,2025-01-24
C100092,Galway,Galway,New,25-34,2025-12-06
C100093,Cork,Cork,New,25-34,2025-02-11
C100094,Cork,Cork,New,25-34,2024-11-06
C100095,Donegal,Letterkenny,Regular,18-24,2025-07-26
C100096,Cork,Cork,Regular,18-24,2024-08-16
C100097,Dublin,Dublin,Regular,25-34,2026-01-13
C100098,Dublin,Dublin,Regular,35-44,2025-07-16
C100099,Monaghan,Monaghan,Inactive,25-34,2024-12-07
C100100,Offaly,Tullamore,Regular,25-34,2024-07-20
C100101,Kerry,Tralee,Regular,35-44,2025-05-18
C100102,Dublin,Dublin,Regular,18-24,2025-05-18
C100103,Monaghan,Monaghan,Premium,25-34,2025-09-20
C100104,Mayo,Castlebar,Premium,18-24,2024-11-18
C100105,Wicklow,Bray,Premium,35-44,2024-10-06
C100106,Galway,Galway,New,18-24,2025-02-03
C100107,Dublin,Dublin,Regular,25-34,2025-10-04
C100108,Dublin,Dublin,Premium,35-44,2025-11-27
C100109,Offaly,Tullamore,Regular,45-54,2024-12-30
C100110,Kildare,Naas,Inactive,35-44,2024-06-29
C100111,Dublin,Dublin,Regular,55+,2024-08-06
C100112,Cork,Cork,Regular,35-44,2025-04-23
C100113,Limerick,Limerick,Regular,25-34,2024-06-15
C100114,Dublin,Dublin,Regular,18-24,2025-08-09
C100115,Kilkenny,Kilkenny,Inactive,18-24,2024-06-20
C100116,Louth,Drogheda,New,25-34,2025-02-10
C100117,Wicklow,Bray,Regular,18-24,2025-09-22
C100118,Galway,Galway,Regular,25-34,2025-03-08
C100119,Donegal,Letterkenny,Inactive,35-44,2025-07-10
C100120,Tipperary,Clonmel,Regular,35-44,2024-12-18
C100121,Wexford,Wexford,Inactive,25-34,2025-09-20
C100122,Dublin,Dublin,Inactive,25-34,2025-02-12
C100123,Galway,Galway,Regular,18-24,2025-08-26
C100124,Dublin,Dublin,Inactive,25-34,2025-12-24
C100125,Kildare,Naas,Inactive,25-34,2025-01-15
C100126,Cork,Cork,New,25-34,2024-10-18
C100127,Dublin,Dublin,Regular,25-34,2025-12-12
C100128,Dublin,Dublin,Regular,55+,2025-07-14
C100129,Tipperary,Clonmel,Regular,25-34,2025-11-09
C100130,Dublin,Dublin,New,25-34,2025-01-14
C100131,Cavan,Cavan,Premium,18-24,2024-12-27
C100132,Limerick,Limerick,Regular,18-24,2024-08-14
C100133,Cork,Cork,Regular,25-34,2025-09-07
C100134,Tipperary,Clonmel,New,55+,2025-10-20
C100135,Dublin,Dublin,Regular,18-24,2025-10-05
C100136,Roscommon,Roscommon,Regular,25-34,2024-11-22
C100137,Kildare,Naas,Regular,55+,2025-03-21
C100138,Mayo,Castlebar,Regular,25-34,2025-03-23
C100139,Dublin,Dublin,New,25-34,2024-08-12
C100140,Kildare,Naas,Regular,35-44,2024-06-01
C100141,Kildare,Naas,Inactive,25-34,2024-12-18
C100142,Sligo,Sligo,New,55+,2025-04-03
C100143,Limerick,Limerick,Regular,18-24,2026-01-15
C100144,Kildare,Naas,New,35-44,2025-11-07
C100145,Dublin,Dublin,Premium,25-34,2025-08-04
C100146,Cork,Cork,New,45-54,2025-12-30
C100147,Meath,Navan,Regular,45-54,2025-09-08
C100148,Galway,Galway,Regular,45-54,2025-04-12
C100149,Dublin,Dublin,New,45-54,2025-11-30
C100150,Waterford,Waterford,Regular,35-44,2025-12-04
C100151,Laois,Portlaoise,Regular,18-24,2024-09-30
C100152,Dublin,Dublin,Regular,18-24,2024-11-17
C100153,Limerick,Limerick,Inactive,25-34,2026-01-03
C100154,Dublin,Dublin,Regular,25-34,2024-06-04
C100155,Wexford,Wexford,Inactive,25-34,2025-04-07
C100156,Dublin,Dublin,Regular,35-44,2025-01-16
C100157,Wexford,Wexford,New,35-44,2025-08-21
C100158,Wicklow,Bray,New,55+,2025-12-27
C100159,Mayo,Castlebar,Regular,25-34,2024-12-08
C100160,Dublin,Dublin,Regular,35-44,2024-10-11
C100161,Offaly,Tullamore,Inactive,35-44,2024-12-15
C100162,Dublin,Dublin,Regular,55+,2025-08-04
C100163,Dublin,Dublin,Regular,35-44,2025-01-02
C100164,Limerick,Limerick,Regular,25-34,2025-06-21
C100165,Cork,Cork,Regular,18-24,2024-12-26
C100166,Waterford,Waterford,Regular,55+,2025-08-19
C100167,Clare,Ennis,New,35-44,2024-07-08
C100168,Cork,Cork,New,45-54,2024-12-23
C100169,Roscommon,Roscommon,Regular,35-44,2024-12-03
C100170,Cork,Cork,New,35-44,2025-05-25
C100171,Meath,Navan,Regular,35-44,2025-06-24
C100172,Dublin,Dublin,New,45-54,2025-08-11
C100173,Sligo,Sligo,New,45-54,2025-11-24
C100174,Dublin,Dublin,Inactive,25-34,2025-09-21
C100175,Dublin,Dublin,Inactive,18-24,2024-06-25
C100176,Galway,Galway,Regular,18-24,2025-07-12
C100177,Longford,Longford,Regular,25-34,2024-06-10
C100178,Laois,Portlaoise,Premium,45-54,2025-02-04
C100179,Louth,Drogheda,New,45-54,2025-05-22
C100180,Laois,Portlaoise,Regular,25-34,2024-12-09
C100181,Laois,Portlaoise,New,25-34,2025-07-25
C100182,Meath,Navan,Regular,25-34,2025-09-21
C100183,Cork,Cork,Inactive,45-54,2025-05-31
C100184,Mayo,Castlebar,Premium,35-44,2025-04-11
C100185,Wexford,Wexford,Inactive,18-24,2026-01-05
C100186,Cork,Cork,Premium,25-34,2025-06-27
C100187,Dublin,Dublin,Regular,25-34,2024-10-16
C100188,Louth,Drogheda,Premium,25-34,2025-06-29
C100189,Dublin,Dublin,Regular,45-54,2025-03-16
C100190,Sligo,Sligo,Regular,55+,2024-06-15
C100191,Dublin,Dublin,Regular,18-24,2025-12-02
C100192,Dublin,Dublin,Regular,18-24,2025-09-21
C100193,Waterford,Waterford,New,25-34,2025-06-06
C100194,Dublin,Dublin,Regular,25-34,2025-07-09
C100195,Dublin,Dublin,New,25-34,2025-05-13
C100196,Tipperary,Clonmel,Regular,18-24,2024-12-23
C100197,Westmeath,Athlone,New,18-24,2025-12-12
C100198,Dublin,Dublin,Regular,45-54,2025-04-28
C100199,Cork,Cork,Regular,18-24,2024-12-21
C100200,Mayo,Castlebar,New,45-54,2025-07-16
C100201,Monaghan,Monaghan,Inactive,25-34,2024-09-03
C100202,Meath,Navan,Regular,25-34,2024-12-09
C100203,Dublin,Dublin,Regular,18-24,2024-08-17
C100204,Dublin,Dublin,New,18-24,2024-07-22
C100205,Dublin,Dublin,Inactive,25-34,2025-10-07
C100206,Dublin,Dublin,Regular,45-54,2025-02-18
C100207,Wexford,Wexford,Regular,45-54,2025-10-28
C100208,Dublin,Dublin,New,18-24,2025-06-18
C100209,Meath,Navan,Premium,18-24,2024-10-19
C100210,Kerry,Tralee,Inactive,18-24,2024-10-05
C100211,Limerick,Limerick,Regular,35-44,2025-03-02
C100212,Dublin,Dublin,New,18-24,2024-07-27
C100213,Clare,Ennis,New,18-24,2025-05-17
C100214,Wicklow,Bray,New,45-54,2025-03-03
C100215,Wicklow,Bray,Premium,45-54,2024-08-23
C100216,Dublin,Dublin,Inactive,35-44,2025-04-11
C100217,Dublin,Dublin,Inactive,18-24,2025-10-23
C100218,Cavan,Cavan,Premium,25-34,2025-11-28
C100219,Galway,Galway,New,18-24,2025-02-07
C100220,Cork,Cork,Inactive,35-44,2024-07-14
C100221,Kildare,Naas,Regular,35-44,2025-11-01
C100222,Wexford,Wexford,Regular,18-24,2025-04-27
C100223,Roscommon,Roscommon,Regular,45-54,2025-08-31
C100224,Cork,Cork,New,25-34,2024-06-28
C100225,Cavan,Cavan,Premium,35-44,2024-11-24
C100226,Dublin,Dublin,Inactive,18-24,2024-11-19
C100227,Limerick,Limerick,Premium,25-34,2025-08-04
C100228,Donegal,Letterkenny,Premium,18-24,2025-07-14
C100229,Dublin,Dublin,Regular,35-44,2025-08-19
C100230,Dublin,Dublin,New,18-24,2025-01-25
C100231,Galway,Galway,Premium,25-34,2024-12-04
C100232,Monaghan,Monaghan,Regular,35-44,2024-09-22
C100233,Tipperary,Clonmel,Inactive,35-44,2024-10-31
C100234,Sligo,Sligo,New,35-44,2024-09-07
C100235,Clare,Ennis,Regular,35-44,2025-10-08
C100236,Kildare,Naas,Regular,35-44,2025-07-12
C100237,Mayo,Castlebar,Regular,35-44,2025-07-12
C100238,Dublin,Dublin,Premium,25-34,2025-11-14
C100239,Dublin,Dublin,Inactive,18-24,2025-08-18
C100240,Waterford,Waterford,Regular,25-34,2024-12-10
C100241,Clare,Ennis,Regular,18-24,2024-12-05
C100242,Dublin,Dublin,New,25-34,2024-08-16
C100243,Meath,Navan,New,25-34,2025-08-08
C100244,Tipperary,Clonmel,Regular,18-24,2025-11-07
C100245,Westmeath,Athlone,Regular,35-44,2025-08-03
C100246,Tipperary,Clonmel,Regular,35-44,2025-03-10
C100247,Galway,Galway,Regular,25-34,2024-12-17
C100248,Cork,Cork,Regular,45-54,2025-02-18
C100249,Galway,Galway,Premium,25-34,2024-11-10
C100250,Wexford,Wexford,New,25-34,2024-09-08
C100251,Westmeath,Athlone,Regular,18-24,2025-02-14
C100252,Kildare,Naas,Premium,25-34,2024-10-21
C100253,Dublin,Dublin,Premium,18-24,2025-08-18
C100254,Dublin,Dublin,Premium,45-54,2025-11-26
C100255,Louth,Drogheda,New,25-34,2024-09-25
C100256,Clare,Ennis,Regular,25-34,2024-06-04
C100257,Dublin,Dublin,Inactive,25-34,2025-11-07
C100258,Dublin,Dublin,Regular,25-34,2024-11-24
C100259,Tipperary,Clonmel,Regular,35-44,2024-11-01
C100260,Dublin,Dublin,Inactive,35-44,2025-10-27
C100261,Waterford,Waterford,New,35-44,2025-10-17
C100262,Cork,Cork,Premium,35-44,2025-05-15
C100263,Dublin,Dublin,Inactive,25-34,2024-09-02
C100264,Cavan,Cavan,New,25-34,2025-07-29
C100265,Dublin,Dublin,Premium,35-44,2025-08-18
C100266,Cork,Cork,Regular,25-34,2025-02-21
C100267,Dublin,Dublin,Inactive,25-34,2025-05-03
C100268,Dublin,Dublin,Inactive,18-24,2025-04-18
C100269,Dublin,Dublin,Inactive,35-44,2025-07-02
C100270,Dublin,Dublin,New,18-24,2025-04-06
C100271,Dublin,Dublin,Premium,55+,2026-01-06
C100272,Dublin,Dublin,Inactive,18-24,2024-06-22
C100273,Tipperary,Clonmel,Regular,25-34,2024-07-02
C100274,Kerry,Tralee,Regular,18-24,2024-08-30
C100275,Cork,Cork,New,25-34,2024-08-29
C100276,Cork,Cork,Inactive,25-34,2025-03-27
C100277,Meath,Navan,New,35-44,2024-07-18
C100278,Westmeath,Athlone,Regular,18-24,2024-09-23
C100279,Kilkenny,Kilkenny,Inactive,25-34,2025-04-08
C100280,Dublin,Dublin,Inactive,18-24,2025-11-22
C100281,Dublin,Dublin,Inactive,25-34,2025-09-25
C100282,Dublin,Dublin,Regular,55+,2024-10-09
C100283,Dublin,Dublin,New,25-34,2024-07-03
C100284,Limerick,Limerick,Regular,35-44,2025-08-18
C100285,Galway,Galway,New,25-34,2025-09-11
C100286,Dublin,Dublin,Inactive,25-34,2025-12-10
C100287,Cork,Cork,Regular,45-54,2025-02-15
C100288,Meath,Navan,Regular,18-24,2024-07-06
C100289,Dublin,Dublin,New,45-54,2025-12-17
C100290,Waterford,Waterford,Regular,25-34,2024-11-20
C100291,Dublin,Dublin,Inactive,25-34,2025-01-16
C100292,Cavan,Cavan,Premium,45-54,2025-02-04
C100293,Dublin,Dublin,New,25-34,2026-01-12
C100294,Kilkenny,Kilkenny,New,55+,2025-01-03
C100295,Offaly,Tullamore,Regular,55+,2025-04-30
C100296,Carlow,Carlow,New,25-34,2025-03-30
C100297,Clare,Ennis,Inactive,25-34,2026-01-15
C100298,Mayo,Castlebar,Regular,45-54,2025-12-24
C100299,Donegal,Letterkenny,New,18-24,2025-06-15
C100300,Mayo,Castlebar,Premium,35-44,2024-08-03
C100301,Dublin,Dublin,Regular,18-24,2024-12-25
C100302,Meath,Navan,New,18-24,2025-07-05
C100303,Meath,Navan,Regular,25-34,2025-09-26
C100304,Kilkenny,Kilkenny,New,35-44,2025-08-26
C100305,Kildare,Naas,Regular,35-44,2025-03-20
C100306,Cork,Cork,Inactive,35-44,2025-07-08
C100307,Donegal,Letterkenny,Inactive,25-34,2024-12-03
C100308,Dublin,Dublin,Regular,25-34,2025-06-17
C100309,Dublin,Dublin,Regular,25-34,2025-03-15
C100310,Kildare,Naas,New,25-34,2025-07-16
C100311,Galway,Galway,Regular,25-34,2025-11-06
C100312,Dublin,Dublin,New,35-44,2025-10-06
C100313,Cork,Cork,Regular,18-24,2025-08-14
C100314,Cork,Cork,New,18-24,2025-09-04
C100315,Cork,Cork,Inactive,35-44,2024-09-13
C100316,Cork,Cork,Inactive,18-24,2024-09-19
C100317,Kerry,Tralee,Regular,55+,2025-10-17
C100318,Cork,Cork,Premium,25-34,2025-04-21
C100319,Roscommon,Roscommon,New,18-24,2025-02-14
C100320,Offaly,Tullamore,Premium,45-54,2025-07-05
C100321,Kildare,Naas,Regular,35-44,2024-07-20
C100322,Cork,Cork,New,45-54,2024-09-08
C100323,Meath,Navan,Regular,25-34,2024-08-28
C100324,Kilkenny,Kilkenny,Regular,25-34,2025-05-06
C100325,Wexford,Wexford,Regular,35-44,2024-07-10
C100326,Clare,Ennis,Regular,25-34,2024-06-27
C100327,Meath,Navan,New,25-34,2025-07-11
C100328,Donegal,Letterkenny,New,25-34,2025-08-15
C100329,Cork,Cork,Regular,25-34,2024-11-02
C100330,Wicklow,Bray,Regular,18-24,2025-07-20
C100331,Dublin,Dublin,New,35-44,2024-07-28
C100332,Kerry,Tralee,Regular,25-34,2025-02-01
C100333,Kilkenny,Kilkenny,Regular,55+,2025-01-06
C100334,Dublin,Dublin,Regular,25-34,2024-12-25
C100335,Tipperary,Clonmel,Premium,25-34,2025-11-03
C100336,Dublin,Dublin,Regular,25-34,2024-07-18
C100337,Wicklow,Bray,Regular,35-44,2025-06-13
C100338,Dublin,Dublin,Regular,45-54,2024-11-12
C100339,Sligo,Sligo,Regular,25-34,2025-03-19
C100340,Dublin,Dublin,New,25-34,2024-09-29
C100341,Roscommon,Roscommon,New,35-44,2025-08-14
C100342,Clare,Ennis,Premium,18-24,2024-07-07
C100343,Tipperary,Clonmel,New,35-44,2024-07-16
C100344,Mayo,Castlebar,Regular,35-44,2024-12-15
C100345,Clare,Ennis,Regular,25-34,2025-11-12
C100346,Roscommon,Roscommon,Regular,35-44,2024-06-15
C100347,Dublin,Dublin,Premium,35-44,2024-09-15
C100348,Tipperary,Clonmel,Regular,18-24,2025-03-23
C100349,Dublin,Dublin,New,25-34,2024-06-13
C100350,Donegal,Letterkenny,Premium,25-34,2025-04-17
C100351,Dublin,Dublin,Regular,35-44,2025-01-04
C100352,Limerick,Limerick,Regular,25-34,2025-06-23
C100353,Limerick,Limerick,Premium,25-34,2024-07-06
C100354,Kildare,Naas,Regular,25-34,2024-09-15
C100355,Meath,Navan,Regular,18-24,2024-09-09
C100356,Louth,Drogheda,Inactive,18-24,2025-08-17
C100357,Clare,Ennis,Regular,25-34,2025-08-18
C100358,Kildare,Naas,Regular,18-24,2024-08-09
C100359,Tipperary,Clonmel,New,18-24,2025-01-29
C100360,Cavan,Cavan,New,35-44,2025-07-28
C100361,Dublin,Dublin,Regular,35-44,2024-06-05
C100362,Dublin,Dublin,Regular,18-24,2024-07-31
C100363,Dublin,Dublin,Regular,35-44,2025-06-22
C100364,Wexford,Wexford,Premium,18-24,2025-05-05
C100365,Galway,Galway,New,25-34,2025-07-30
C100366,Mayo,Castlebar,Premium,55+,2025-03-07
C100367,Wexford,Wexford,Premium,25-34,2025-11-24
C100368,Cork,Cork,Premium,18-24,2024-08-15
C100369,Laois,Portlaoise,Premium,25-34,2024-09-01
C100370,Louth,Drogheda,Inactive,35-44,2025-06-17
C100371,Dublin,Dublin,New,18-24,2025-10-28
C100372,Cork,Cork,Regular,55+,2024-06-14
C100373,Cork,Cork,Inactive,25-34,2025-07-31
C100374,Dublin,Dublin,Regular,18-24,2026-01-05
C100375,Dublin,Dublin,New,25-34,2025-05-05
C100376,Sligo,Sligo,Inactive,35-44,2025-10-12
C100377,Galway,Galway,New,25-34,2024-11-05
C100378,Cork,Cork,Regular,45-54,2025-09-26
C100379,Wicklow,Bray,New,45-54,2025-03-02
C100380,Limerick,Limerick,Regular,18-24,2024-11-27
C100381,Sligo,Sligo,Regular,18-24,2024-09-27
C100382,Mayo,Castlebar,Regular,25-34,2025-10-25
C100383,Kildare,Naas,Inactive,35-44,2025-08-05
C100384,Cork,Cork,Regular,35-44,2025-09-17
C100385,Longford,Longford,Regular,25-34,2025-07-28
C100386,Wicklow,Bray,Inactive,55+,2024-11-01
C100387,Roscommon,Roscommon,Premium,25-34,2024-09-23
C100388,Dublin,Dublin,New,45-54,2025-06-24
C100389,Kilkenny,Kilkenny,New,45-54,2024-10-30
C100390,Donegal,Letterkenny,Regular,18-24,2025-06-24
C100391,Dublin,Dublin,Inactive,18-24,2025-11-23
